Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
1,147.8,Hayır,Yarı Otomatik,Önden Çekiş,467.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,210,Hayır,Yarı Otomatik,Önden Çekiş,275.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,258.5,Hayır,Yarı Otomatik,Önden Çekiş,395.00,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,161,Hayır,Yarı Otomatik,Önden Çekiş,420.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,159,Hayır,Yarı Otomatik,Önden Çekiş,525.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,233,Hayır,Yarı Otomatik,Önden Çekiş,370.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
0,157,Hayır,Yarı Otomatik,Önden Çekiş,296.00,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
1,96,Hayır,Yarı Otomatik,Önden Çekiş,490.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,193,Hayır,Yarı Otomatik,Önden Çekiş,351.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,165,Hayır,Yarı Otomatik,Önden Çekiş,490.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,330,Hayır,Yarı Otomatik,4WD (Sürekli),340.00,Dizel / 5 silindir,2011 / 2014,215 hp,Otomatik / 6 Vites / 4x4,"8,1 sn",225 km/saat,2400 cc,Dizel,"6,3 lt"
1,143,Hayır,Yarı Otomatik,Önden Çekiş,302.50,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,221,Hayır,Yarı Otomatik,Önden Çekiş,410.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,129,Hayır,Yarı Otomatik,Önden Çekiş,305.00,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
0,40,Hayır,Otomatik,Önden Çekiş,729.00,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,105,Hayır,Yarı Otomatik,Önden Çekiş,570.00,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,192,Hayır,Otomatik,Önden Çekiş,280.00,Benzinli / 5 silindir,2007 / 2010,180 hp,Powershift / 5 Vites / Önden Çekiş,"9,5 sn",210 km/saat,1984 cc,Benzinli,"9,5 lt"
1,245,Hayır,Otomatik,Önden Çekiş,206.00,Benzinli / 5 silindir,2004 / 2010,180 hp,Powershift / 5 Vites / Önden Çekiş,"9,5 sn",215 km/saat,1984 cc,Benzinli,"10,1 lt"
1,197,Hayır,Yarı Otomatik,Önden Çekiş,419.90,Dizel / 5 silindir,2012 / 2013,163 hp,Geartronic / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,4 lt"
0,128,Hayır,Yarı Otomatik,Önden Çekiş,460.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,9.6,Evet,Otomatik,4WD (Sürekli),1600.00,Benzinli / 4 silindir,2021 / 2021,250 hp,A / 8 Vites / 4x4,6.5 sn,180 km/saat,1969 cc,Benzinli,6.4 lt
0,68,Hayır,Otomatik,Önden Çekiş,775.00,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,151,Hayır,Yarı Otomatik,Önden Çekiş,525.00,Dizel / 4 silindir,2014 / 2015,181 hp,Geartronic / 8 Vites / Önden Çekiş,"7,4 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
0,220,Hayır,Manuel,Önden Çekiş,282.50,Dizel / 5 silindir,2007 / 2010,185 hp,Manuel 6 Vites / Önden Çekiş,"8,2 sn",210 km/saat,2400 cc,Dizel,"6,6 lt"
0,160,Hayır,Yarı Otomatik,Önden Çekiş,459.50,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,151,Hayır,Yarı Otomatik,Önden Çekiş,415.00,Benzinli / 4 silindir,2011 / 2011,203 hp,Powershift / 6 Vites / Önden Çekiş,"8,2 sn",230 km/saat,1999 cc,Benzinli,"8,2 lt"
0,233,Hayır,Yarı Otomatik,Önden Çekiş,375.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
0,285,Hayır,Yarı Otomatik,Önden Çekiş,275.00,Dizel / 5 silindir,2005 / 2007,185 hp,Geartronic / 6 Vites / Önden Çekiş,-,230 km/saat,2401 cc,Dizel / EURO 4,"7,5 lt"
0,237,Evet,Yarı Otomatik,Önden Çekiş,465.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,154.5,Hayır,Manuel,Önden Çekiş,299.50,Dizel / 4 silindir,2011 / 2014,115 hp,Manuel 6 Vites / Önden Çekiş,"10,9 sn",195 km/saat,1560 cc,Dizel,"4,3 lt"
0,176,Hayır,Yarı Otomatik,Önden Çekiş,409.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,249,Hayır,Yarı Otomatik,Önden Çekiş,435.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,73.163,Evet,Otomatik,Önden Çekiş,618.50,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,89.65,Hayır,Yarı Otomatik,Önden Çekiş,514.35,Benzinli / 4 silindir,2015 / 2018,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,171,Hayır,Yarı Otomatik,Önden Çekiş,440.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,249,Hayır,Manuel,Önden Çekiş,305.00,Dizel / 4 silindir,2011 / 2014,115 hp,Manuel 6 Vites / Önden Çekiş,"10,9 sn",195 km/saat,1560 cc,Dizel,"4,3 lt"
0,128.5,Evet,Yarı Otomatik,Önden Çekiş,530.00,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,154.985,Hayır,Yarı Otomatik,Önden Çekiş,398.75,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
1,105,Hayır,Yarı Otomatik,Önden Çekiş,565.00,Benzinli / 4 silindir,2015 / 2018,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,63,Hayır,Otomatik,Önden Çekiş,650.00,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,294,Evet,Otomatik,Önden Çekiş,160.00,Benzinli / 5 silindir,2000 / 2003,250 hp,Geartronic / 5 Vites / Önden Çekiş,"7,2 sn",245 km/saat,2319 cc,Benzinli,"10,3 lt"
0,187,Hayır,Yarı Otomatik,Önden Çekiş,348.00,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
1,54.5,Evet,Otomatik,Önden Çekiş,650.00,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,223,Hayır,Manuel,Önden Çekiş,367.00,Dizel / 4 silindir,2011 / 2014,115 hp,Manuel 6 Vites / Önden Çekiş,"10,9 sn",195 km/saat,1560 cc,Dizel,"4,3 lt"
