Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
1,67,Hayır,Otomatik,Önden Çekiş,675.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,72,Hayır,Otomatik,Önden Çekiş,685.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,118,Hayır,Otomatik,Önden Çekiş,655.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,83,Evet,Otomatik,Önden Çekiş,535.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
1,200,Evet,Yarı Otomatik,Önden Çekiş,405.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,215,Hayır,Yarı Otomatik,Önden Çekiş,425.000 TL,Dizel / 5 silindir,2011 / 2012,163 hp,Otomatik / 6 Vites / Önden Çekiş,"9,2 sn",215 km/saat,1984 cc,Dizel,"5,9 lt"
0,53,Hayır,Yarı Otomatik,Önden Çekiş,689.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
1,110,Hayır,Yarı Otomatik,Önden Çekiş,550.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,158,Hayır,Yarı Otomatik,Önden Çekiş,337.500 TL,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
0,318,Hayır,Otomatik,Önden Çekiş,169.000 TL,Benzinli / 5 silindir,2000 / 2004,180 hp,Geartronic / 5 Vites / Önden Çekiş,"9,5 sn",215 km/saat,1984 cc,Benzinli,"10,1 lt"
1,142,Hayır,Yarı Otomatik,Önden Çekiş,537.500 TL,Dizel / 4 silindir,2015 / 2018,190 hp,Geartronic / 8 Vites / Önden Çekiş,"7,6 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
